"10.11232/aatex.11.1",
"10.11232/aatex.11.15",
"10.11232/aatex.11.27",
"10.11232/aatex.11.31",
"10.11232/aatex.11.39",
"10.11232/aatex.11.4",
"10.11232/aatex.11.49",
"10.11232/aatex.11.59",
"10.11232/aatex.11.68",
"10.11232/aatex.11.79",
"10.11232/aatex.11.101",
"10.11232/aatex.11.105",
"10.11232/aatex.11.112",
"10.11232/aatex.11.118",
"10.11232/aatex.11.129",
"10.11232/aatex.11.136",
"10.11232/aatex.11.89",
"10.11232/aatex.11.150",
"10.11232/aatex.11.155",
"10.11232/aatex.11.162",
"10.11232/aatex.11.170",
"10.11232/aatex.11.177",
"10.11232/aatex.11.185",
"10.11232/aatex.12.1",
"10.11232/aatex.12.25",
"10.11232/aatex.12.7",
"10.11232/aatex.12.145",
"10.11232/aatex.12.155",
"10.11232/aatex.12.161",
"10.11232/aatex.12.171",
"10.11232/aatex.12.179",
"10.11232/aatex.12.203",
"10.11232/aatex.12.212",
"10.11232/aatex.13.1",
"10.11232/aatex.13.11",
"10.11232/aatex.13.27",
"10.11232/aatex.13.36",
"10.11232/aatex.13.51",
"10.11232/aatex.13.55",
"10.11232/aatex.13.63",
"10.11232/aatex.13.70",
"10.11232/aatex.13.83",
"10.11232/aatex.13.109",
"10.11232/aatex.13.118",
"10.11232/aatex.14.821",
"10.11232/aatex.14.828",
"10.11232/aatex.14.831",
"10.11232/aatex.14.873",
"10.11232/aatex.14.879",
"10.11232/aatex.14.887",
"10.11232/aatex.14.937",
"10.11232/aatex.14.940",
"10.11232/aatex.14.947",
"10.11232/aatex.14.954",
"10.11232/aatex.15.1",
"10.11232/aatex.15.14",
"10.11232/aatex.15.6",
"10.11232/aatex.15.106",
"10.11232/aatex.15.59",
"10.11232/aatex.15.61",
"10.11232/aatex.15.71",
"10.11232/aatex.15.81",
"10.11232/aatex.15.89",
"10.11232/aatex.15.97",
"10.11232/aatex.15.119",
"10.11232/aatex.15.124",
"10.11232/aatex.15.131",
"10.11232/aatex.16.1",
"10.11232/aatex.16.9",
"10.11232/aatex.16.51",
"10.11232/aatex.16.59",
"10.11232/aatex.16.66",
"10.11232/aatex.16.101",
"10.11232/aatex.16.111",
"10.11232/aatex.17.2",
"10.11232/aatex.17.9",
"10.11232/aatex.17.51",
"10.11232/aatex.17.53",
"10.11232/aatex.17.63",
"10.11232/aatex.18.1",
"10.11232/aatex.18.19",
"10.11232/aatex.18.33",
"10.11232/aatex.18.53",
"10.11232/aatex.19.1",
"10.11232/aatex.19.7",
"10.11232/aatex.19.51",
"10.11232/aatex.19.55",
"10.11232/aatex.20.1",
"10.11232/aatex.20.57",
"10.11232/aatex.20.66",
"10.11232/aatex.21.1",
"10.11232/aatex.21.50",
"10.11232/aatex.21.52",
"10.11232/aatex.21.63",
"10.11232/aatex.21.71",
"10.11232/aatex.22.101",
"10.11232/aatex.22.107",
"10.11232/aatex.22.141",
"10.11232/aatex.22.155",
"10.11232/aatex.22.167",
"10.11232/aatex.23.1",
"10.11232/aatex.23.9",
"10.11232/aatex.23.47",
"10.11232/aatex.23.53",
"10.7880/abas.10.1",
"10.7880/abas.10.13",
"10.7880/abas.11.1",
"10.7880/abas.11.11",
"10.7880/abas.11.25",
"10.7880/abas.11.45",
"10.7880/abas.11.55",
"10.7880/abas.1.1",
"10.7880/abas.1.17",
"10.7880/abas.1.9",
"10.7880/abas.12.1",
"10.7880/abas.12.13",
"10.7880/abas.12.31",
"10.7880/abas.12.45",
"10.7880/abas.1.25",
"10.7880/abas.1.35",
"10.7880/abas.12.63",
"10.7880/abas.12.71",
"10.7880/abas.12.89",
"10.7880/abas.12.99",
"10.7880/abas.12.111",
"10.7880/abas.12.123",
"10.7880/abas.12.139",
"10.7880/abas.12.151",
"10.7880/abas.12.167",
"10.7880/abas.12.181",
"10.7880/abas.12.199",
"10.7880/abas.12.213",
"10.7880/abas.12.225",
"10.7880/abas.12.237",
"10.7880/abas.12.251",
"10.7880/abas.12.265",
"10.7880/abas.12.C225",
"10.7880/abas.12.277",
"10.7880/abas.12.291",
"10.7880/abas.12.311",
"10.7880/abas.12.327",
"10.7880/abas.13.1",
"10.7880/abas.13.17",
"10.7880/abas.13.31",
"10.7880/abas.13.47",
"10.7880/abas.1.39",
"10.7880/abas.1.47",
"10.7880/abas.1.57",
"10.7880/abas.13.105",
"10.7880/abas.13.67",
"10.7880/abas.13.77",
"10.7880/abas.13.91",
"10.7880/abas.13.129",
"10.7880/abas.13.141",
"10.7880/abas.13.153",
